speakerId,firstName,lastName,party,fraction
11005166,Edgar,Naujok,AfD,AfD
11005312,Franziska,Krumwiede-Steiner,,Bündnis 90 / Die Grünen
11005311,Jürgen,Kretz,BÜNDNIS 90/DIE GRÜNEN,Bündnis 90 / Die Grünen
11005313,Angela,Hohmann,,SPD
11000975,Hubert,Hüppe,CDU,CDU/CSU
11005033,Marlon,Bröhr,CDU,CDU/CSU
11005310,Nadine,Ruf,SPD,SPD
11003243,Thomas,Strobl,CDU,
11005309,Tim,Wagner,FDP,FDP
11003824,Bodo,Ramelow,DIE LINKE.,
11005317,Julian,Grünke,,FDP
11005316,Fabian,Griewel,FDP,FDP
11004425,Astrid,Timmermann-Fechter,CDU,CDU/CSU
999990123,Clara,Bünger,,Die Linke
11005314,Heike,Heubach,SPD,SPD
11005239,Nico,Tippelt,FDP,FDP
11005179,Andreas,Philippi,SPD,SPD
11005243,Frank,Ullrich,SPD,SPD
999990130,Alexander,Bartz,,SPD
999990132,Emily,Vontz,,SPD
11005304,Dirk-UlrichAlexander,Mende Föhr,,SPDCDU/CSU
